X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
153.2667,-24.7,train,1.3223282753610592E-5,21.567283506656135,0.42776870258429167
143.9833,-13.45,train,2.2324130369229984E-5,56.79747938286168,0.6103078361250462
151.3,-23.7167,train,2.140156074691251E-5,54.246283735610746,0.5948316088820769
151.3667,-23.95,train,2.2602213092219903E-5,57.535909703034385,0.6148557156593121
142.95,-11.5833,train,2.9217763414041647E-5,69.2713931253032,0.7087019372739674
143.4,-12.2833,train,2.660201813298884E-5,65.46576807907566,0.6746931325750367
150.0,-17.0,train,1.9604822974913464E-5,48.609066191104404,0.5629048788553142
150.0167,-16.0333,train,1.71107616459638E-5,39.24383984622127,0.5143753674823339
149.1833,-16.9333,train,2.1571859757978746E-5,54.73404824010653,0.5977339430874706
144.02,-11.6,train,2.9008628974126533E-5,69.00740042591084,0.7061188354350281
143.95,-11.3833,train,2.5627142780391785E-5,63.91413468661158,0.6610262560932545
143.9667,-13.3667,train,2.0396512063335628E-5,51.31730842034959,0.5772714629661828
153.412495,-29.187339,train,8.658560538567488E-6,7.914940512323765,0.3061609901799256
0.86412,51.612559,train,5.3618586919842485E-6,3.56247164077447,0.20255886956719804
-113.521,29.031,train,6.6874608597718E-5,85.37439726599484,0.9405765709423872
-113.55,28.976,train,7.134554640326515E-5,86.25938607799092,0.9507971799697345
-113.577,28.915,train,7.064216677431124E-5,86.13416295564049,0.949314309184533
-113.385,28.98,train,6.949658694912446E-5,85.92343979345175,0.946802919262101
-111.958,28.551,train,1.769585204175513E-4,96.75311373710517,0.9994301772030697
-113.462,29.093,train,6.490733986754807E-5,84.89153737845434,0.9354309298563777
-113.329,29.016,train,6.720717173762229E-5,85.45053302177654,0.9414049836633961
-113.097,29.03,train,6.193157603900294E-5,84.22169983457935,0.9267882902192662
-113.168,28.987,train,7.244016199106518E-5,86.57943949570591,0.9530190369843188
-112.689,28.812,train,7.355547557939018E-5,86.85092035203283,0.9551797402778633
-112.933,28.854,train,6.667860497859179E-5,85.32952493383435,0.9400828521747205
-112.962,28.816,train,7.388289862689248E-5,86.9240646905889,0.955794981691852
-112.995,28.656,train,7.126519693697658E-5,86.24300599768019,0.9506300056259427
-112.861,28.694,train,5.6511403181078674E-5,82.91562024163115,0.9079654236894714
-112.827,28.57,train,6.529129635380876E-5,84.99586008899055,0.9364690594167117
-112.77,28.493,train,7.930893285963576E-5,88.07598976842576,0.9648444701637837
-112.611,28.418,train,1.0166624765944905E-4,91.17670639973687,0.9863193435989287
-112.268,28.306,train,1.2362283969970795E-4,94.10078688970731,0.9945853940786469
-112.232,28.243,train,1.1696048602474263E-4,93.36564064801573,0.9928268356466281
-112.146,28.136,train,1.0130220636107122E-4,91.12851455524743,0.9861074787945198
-112.27,28.191,train,1.1540981370328336E-4,93.19321382005825,0.9923415663341477
-112.006,28.066,train,1.0593165299061652E-4,91.71793547637066,0.9885736548033536
-112.137,27.97,train,1.0695513067524926E-4,91.93478791543126,0.9890568220037834
-111.956,28.222,train,1.1661423074615266E-4,93.33077639296708,0.992721215938283
-111.791,28.24,train,1.2771171914271648E-4,94.39272469858125,0.9954437915287695
-111.663,28.341,train,1.8207999689695724E-4,96.92095662217321,0.9995409653309357
-111.502,28.274,train,1.6972854890995017E-4,96.39749880598809,0.9992268030344065
-112.084,28.365,train,1.3723183180705363E-4,95.05973299832498,0.9969516342181071
-111.477,28.342,train,1.6736289258426358E-4,96.30766444043999,0.9991456008987338
-111.707,28.322,train,1.8122705374275678E-4,96.8930055745989,0.9995241359703066
-111.034,27.976,train,1.2986224369765202E-4,94.53065246803152,0.9958391979679997
-111.37,28.166,train,1.5151569840735947E-4,95.713470594312,0.9983320058452594
-111.277,28.12,train,1.52894915435911E-4,95.76243369292003,0.9984263479277031
-111.333,27.975,train,1.1883291969734735E-4,93.5739586815899,0.9933719982782064
-111.324,28.051,train,1.432899976252228E-4,95.31538959501323,0.9976395217771878
-111.202,27.999,train,1.3245177147351415E-4,94.74503387212856,0.9962700580317823
-111.093,27.905,train,1.2956638018729743E-4,94.50615856788411,0.9957869050029753
-111.204,27.9,train,1.0946933546631786E-4,92.34534997645403,0.990158769236177
-110.955,27.802,train,1.421677670407908E-4,95.2462613836945,0.9975250048264415
-110.904,27.67,train,1.348447993535409E-4,94.92744707290704,0.9966284498958791
-110.592,27.258,train,1.1927857561793918E-4,93.63933937914251,0.9934955257004663
-110.397,27.209,train,1.3826560623763238E-4,95.09879920690368,0.9970818042125451
-110.378,27.125,train,1.2488841826889755E-4,94.20787222130453,0.994867080745179
-110.503,27.086,train,9.299203224756912E-5,90.08105063129399,0.9802696299955498
-110.069,26.944,train,1.6359812130740852E-4,96.18050818558757,0.9989984283371415
-109.986,26.786,train,1.632682333010507E-4,96.17018797807697,0.9989843828779167
-109.747,26.623,train,1.427347912730725E-4,95.27182888095332,0.9975835442544642
-109.733,26.55,train,1.4530140159314797E-4,95.47320153784568,0.9978316767624795
-109.458,26.559,train,1.6748581389821533E-4,96.31233230285572,0.9991500229275109
-109.463,26.497,train,1.5737558289838176E-4,95.97294715314231,0.9986975453059996
-109.308,26.484,train,1.5976281127893306E-4,96.06052444989989,0.9988224035352788
-109.745,26.49,train,1.3583209557204036E-4,95.00234795395998,0.9967660814892445
-109.757,26.563,train,1.2763591127872093E-4,94.38808851131809,0.9954291874949985
-109.726,26.279,train,1.4206902450713646E-4,95.24252991549291,0.9975146666492994
-109.352,26.277,train,1.5819677024061604E-4,96.01152885725425,0.9987419224046895
-109.297,26.201,train,1.5246658331589792E-4,95.74722762498799,0.998397634729678
-109.337,26.187,train,1.5511619471808542E-4,95.86679470562767,0.9985672018720109
-109.452,26.178,train,1.409467458577423E-4,95.20011914337107,0.9973940871518407
-109.382,26.131,train,1.5313567984847346E-4,95.77374451505754,0.9984422610626836
-109.509,25.987,train,1.1937343551187735E-4,93.65325595861309,0.9935215204393141
-109.823,26.126,train,1.0696722989176966E-4,91.93784321451123,0.9890624099175167
-109.422,25.908,train,1.4813296127293323E-4,95.5933812331388,0.9980759703234804
-109.762,25.716,train,9.375137078654268E-5,90.18355597461598,0.9808920571112896
-109.462,25.668,train,1.2221006794717706E-4,93.97645793936404,0.9942526475033102
-109.362,25.439,train,1.0914888482399298E-4,92.30177166207179,0.9900247363891512
-109.385,25.393,train,1.0067258061465958E-4,91.04516459964401,0.9857332753135667
-109.045,25.212,train,1.1190100551831937E-4,92.68659392398386,0.9911188641286466
-109.142,25.261,train,1.2190219066076552E-4,93.94490425178553,0.9941774625986072
-108.972,24.99,train,7.858733479228494E-5,87.95905650363693,0.9637570925756972
-108.71,24.881,train,8.661554389032161E-5,89.21053797689079,0.9741751231069197
