variable,x,y
Surface.Temperature.Max,18.32207261276245,0.0189997348934412
Surface.Temperature.Max,18.409552606582643,0.019646868109703064
Surface.Temperature.Max,18.497032600402832,0.020315801724791527
Surface.Temperature.Max,18.58451259422302,0.021007278934121132
Surface.Temperature.Max,18.671992588043214,0.021722031757235527
Surface.Temperature.Max,18.759472581863402,0.022460805252194405
Surface.Temperature.Max,18.846952575683595,0.023224422708153725
Surface.Temperature.Max,18.934432569503784,0.024013681337237358
Surface.Temperature.Max,19.021912563323976,0.024829402565956116
Surface.Temperature.Max,19.109392557144165,0.025672484189271927
Surface.Temperature.Max,19.196872550964354,0.02654380165040493
Surface.Temperature.Max,19.284352544784547,0.027444271370768547
Surface.Temperature.Max,19.371832538604735,0.028374822810292244
Surface.Temperature.Max,19.459312532424928,0.029336467385292053
Surface.Temperature.Max,19.546792526245117,0.030330192297697067
Surface.Temperature.Max,19.63427252006531,0.03135700896382332
Surface.Temperature.Max,19.721752513885498,0.03241802752017975
Surface.Temperature.Max,19.809232507705687,0.033514320850372314
Surface.Temperature.Max,19.89671250152588,0.03464702144265175
Surface.Temperature.Max,19.98419249534607,0.03581726551055908
Surface.Temperature.Max,20.07167248916626,0.037026297301054
Surface.Temperature.Max,20.15915248298645,0.038275327533483505
Surface.Temperature.Max,20.246632476806642,0.039565589278936386
Surface.Temperature.Max,20.33411247062683,0.04089844226837158
Surface.Temperature.Max,20.42159246444702,0.04227520152926445
Surface.Temperature.Max,20.509072458267212,0.04369724541902542
Surface.Temperature.Max,20.5965524520874,0.04516594856977463
Surface.Temperature.Max,20.684032445907594,0.04668283835053444
Surface.Temperature.Max,20.771512439727783,0.04824937507510185
Surface.Temperature.Max,20.858992433547975,0.04986705258488655
Surface.Temperature.Max,20.946472427368164,0.05153752490878105
Surface.Temperature.Max,21.033952421188353,0.0532623715698719
Surface.Temperature.Max,21.121432415008545,0.05504325032234192
Surface.Temperature.Max,21.208912408828734,0.05688183009624481
Surface.Temperature.Max,21.296392402648927,0.05877993255853653
Surface.Temperature.Max,21.383872396469116,0.06073930859565735
Surface.Temperature.Max,21.471352390289308,0.06276175379753113
Surface.Temperature.Max,21.558832384109497,0.06484923511743546
Surface.Temperature.Max,21.646312377929686,0.06700363010168076
Surface.Temperature.Max,21.733792371749878,0.06922692060470581
Surface.Temperature.Max,21.821272365570067,0.07152106612920761
Surface.Temperature.Max,21.90875235939026,0.07388823479413986
Surface.Temperature.Max,21.99623235321045,0.07633048295974731
Surface.Temperature.Max,22.08371234703064,0.0788499116897583
Surface.Temperature.Max,22.17119234085083,0.08144883066415787
Surface.Temperature.Max,22.258672334671022,0.0841294452548027
Surface.Temperature.Max,22.34615232849121,0.08689403533935547
Surface.Temperature.Max,22.4336323223114,0.08974489569664001
Surface.Temperature.Max,22.521112316131592,0.09268451482057571
